,road_id,road_name,road_level
0,200000006,慧忠路,tertiary
1,200000007,北四环中路,trunk
2,200000008,北四环中路,trunk
3,200000031,北四环中路,tertiary
4,200000032,北四环中路,tertiary
5,200000033,北四环中路,tertiary
6,200000034,北三环,trunk
7,200000035,北三环,trunk
8,200000086,奥体中路,secondary
9,200000087,奥体中路,secondary
10,200000092,奥林西路,secondary
11,200000093,北五环,motorway
12,200000094,北五环,motorway
13,200000095,北五环,motorway
14,200000096,北五环,motorway
15,200000097,北五环,motorway
16,200000099,新街口外大街,primary
17,200000103,,secondary_link
18,200000106,学院路,tertiary
19,200000125,中关村北二街,tertiary
20,200000193,清华西路,secondary
21,200000194,颐和园路,secondary
22,200000204,安贞路,secondary
23,200000205,安贞路,secondary
24,200000217,,motorway_link
25,200000218,,motorway_link
26,200000219,,motorway_link
27,200000220,,motorway_link
28,200000229,东升南路,tertiary
29,200000238,二龙闸路,secondary
30,200000239,同庆街,tertiary
31,200000240,北辰路,secondary
32,200000241,北辰路,secondary
33,200000242,北辰路,secondary
34,200000273,黄寺大街,tertiary
35,200000274,黄寺大街,tertiary
36,200000276,万泉河路,trunk
37,200000277,万泉河路,trunk
38,200000281,万柳中路,tertiary
39,200000282,万柳中路,tertiary
40,200000283,北三环西路,tertiary
41,200000284,北三环西路,tertiary
42,200000300,颐和园路,secondary
43,200000319,信息路,secondary
44,200000320,农大南路,secondary
45,200000322,中关村北大街,primary
46,200000323,中关村大街,primary
47,200000420,,trunk_link
48,200000421,,trunk_link
49,200000422,西四环北路,trunk
50,200000423,北四环西路,trunk
51,200000424,北坞村路,tertiary
52,200000425,,tertiary_link
53,200000426,蓝靛厂路,tertiary
54,200000427,,trunk_link
55,200000436,北五环,motorway
56,200000444,双清路,tertiary
57,200000445,学清路,primary
58,200000446,北四环中路,trunk
59,200000447,北四环中路,trunk
60,200000448,北四环中路,tertiary
61,200000449,北四环中路,tertiary
62,200000450,北四环中路,tertiary
63,200000451,北四环中路,tertiary
64,200000452,北四环中路,tertiary
65,200000453,北四环中路,tertiary
66,200000454,北四环中路,tertiary
67,200000455,,tertiary_link
68,200000456,学院路,trunk
69,200000457,学知桥,trunk
70,200000458,学知桥,trunk
71,200000462,学院路,primary
72,200000463,中关村大街,primary
73,200000464,北三环,trunk
74,200000465,,trunk_link
75,200000467,北三环,trunk
76,200000468,北三环,trunk
77,200000469,北三环,trunk
78,200000470,,trunk_link
79,200000471,德胜门外大街,motorway
80,200000472,德胜门外大街,motorway
81,200000473,德胜门外大街,motorway
82,200000474,京藏高速,motorway
83,200000475,京藏高速,motorway
84,200000476,北三环,trunk
85,200000477,北三环,trunk
86,200000478,北三环,trunk
87,200000479,北三环,trunk
88,200000480,北三环,trunk
89,200000481,北三环,trunk
90,200000491,,motorway_link
91,200000492,,motorway_link
92,200000493,圆明园西路,trunk
93,200000494,圆明园西路,trunk
94,200000495,圆明园西路,trunk
95,200000541,,trunk_link
96,200000542,北四环中路,trunk
97,200000543,北四环中路,trunk
98,200000544,志新路,primary
99,200000552,圆明园西路,primary
100,200000553,圆明园西路,primary
101,200000556,安河桥大街,secondary
102,200000558,,tertiary
103,200000559,,tertiary
104,200000560,,tertiary
105,200000561,北太平庄路,primary
106,200000562,北太平庄路,primary
107,200000563,北太平庄路,primary
108,200000564,,motorway_link
109,200000565,,tertiary
110,200000566,蓟门里北路,tertiary
111,200000567,蓟门里北路,tertiary
112,200000583,万泉庄路,tertiary
113,200000584,万泉庄路,tertiary
114,200000592,,trunk_link
115,200000713,北四环中路,trunk
116,200000714,北四环中路,trunk
117,200000715,北四环中路,trunk
118,200000716,北四环中路,trunk
119,200000717,北四环中路,trunk
120,200000718,北四环中路,trunk
121,200000719,北四环中路,trunk
122,200000726,蓝靛厂北路,trunk
123,200000727,蓝靛厂北路,trunk
124,200000743,圆明园西路,trunk
125,200000744,万泉河路,trunk
126,200000745,圆明园西路,trunk
127,200000746,万泉河路,trunk
128,200000747,,trunk_link
129,200000748,,trunk_link
130,200000749,,trunk_link
131,200000750,彩和坊路,tertiary
132,200000751,彩和坊路,tertiary
133,200000752,彩和坊路,tertiary
134,200000753,彩和坊路,tertiary
135,200000754,,motorway_link
136,200000755,,motorway_link
137,200000756,京藏高速,motorway
138,200000757,京藏高速,motorway
139,200000758,京藏高速,motorway
140,200000759,京藏高速,motorway
141,200000760,京藏高速,motorway
142,200000761,京藏高速,motorway
143,200000762,京藏高速,motorway
144,200000763,京藏高速,motorway
145,200000764,,motorway_link
146,200000765,,motorway_link
147,200000766,,motorway_link
148,200001011,,tertiary
149,200001012,罗庄中路,tertiary
150,200001157,黑泉路,secondary
151,200001160,永泰庄东路,tertiary
152,200001161,龙岗路,tertiary
153,200001163,永泰庄西路,tertiary
154,200001164,永泰庄西路,tertiary
155,200001165,清河路,tertiary
156,200001166,清河路,tertiary
157,200001167,清河路,tertiary
158,200001177,科荟桥,secondary
159,200001339,成府路,tertiary
160,200001340,中关村南一街,tertiary
161,200001433,北辰西路,secondary
162,200001434,北辰西路,secondary
163,200001593,科学院南路,tertiary
164,200001598,龙翔路,secondary
165,200001600,龙翔路,secondary
166,200001601,花园东路,primary
167,200001602,花园东路,primary
168,200001603,花园东路,primary
169,200001604,花园北路,secondary
170,200001605,花园北路,secondary
171,200001645,林萃路,secondary
172,200001646,林萃路,secondary
173,200001647,林萃路,secondary
174,200001648,林萃路,secondary
175,200001649,林萃路,secondary
176,200001650,林萃路,secondary
177,200001651,林萃路,secondary
178,200001652,林萃路,secondary
179,200001653,林萃路,secondary
180,200001654,林萃路,secondary
181,200001655,林萃路,secondary
182,200001656,林萃路,secondary
183,200001657,林萃路,secondary
184,200001658,林萃路,secondary
185,200001659,林萃路,secondary
186,200001660,林萃路,secondary
187,200001661,林萃路,secondary
188,200001667,清河中街,tertiary
189,200001668,朱房路,tertiary
190,200001669,朱房路,tertiary
191,200001671,北五环,motorway
192,200001672,北五环,motorway
193,200001673,北五环,motorway
194,200001674,北五环,motorway
195,200001675,大屯北路,tertiary
196,200001676,大屯北路,tertiary
197,200001677,大屯北路,tertiary
198,200001678,国家体育场南路,tertiary
199,200001679,国家体育场南路,tertiary
200,200001680,国家体育场南路,tertiary
201,200001681,国家体育场南路,tertiary
202,200001682,天辰西路,tertiary
203,200001683,天辰东路,tertiary
204,200001684,天辰东路,tertiary
205,200001685,天辰东路,tertiary
206,200001686,天辰东路,tertiary
207,200001687,北四环中路,tertiary
208,200001688,北四环中路,tertiary
209,200001689,国家体育场北路,tertiary
210,200001690,国家体育场北路,tertiary
211,200001703,花园路,secondary
212,200001704,科荟南路,tertiary
213,200001705,科荟南路,tertiary
214,200001706,科荟南路,tertiary
215,200001707,科荟南路,tertiary
216,200001708,月泉路,tertiary
217,200001709,后八家路,secondary
218,200001717,北四环西路,trunk
219,200001718,北四环西路,trunk
220,200001737,老营房路,tertiary
221,200001738,老营房路,tertiary
222,200001739,老营房路,tertiary
223,200001744,蓝靛厂路,tertiary
224,200001745,蓝靛厂路,tertiary
225,200001746,四道口路,tertiary
226,200001747,大钟寺东路,tertiary
227,200001748,大钟寺东路,tertiary
228,200001754,,tertiary_link
229,200001755,,tertiary
230,200001756,双旗杆西路,tertiary
231,200001757,鼓楼外大街,secondary
232,200001758,鼓楼外大街,secondary
233,200001759,安华桥,secondary
234,200001769,裕民路,tertiary
235,200001770,裕民路,tertiary
236,200001771,裕民路,tertiary
237,200001772,裕民中路,secondary
238,200001773,G6辅路,secondary
239,200001774,G6辅路,secondary
240,200001775,G6辅路,secondary
241,200001776,G6辅路,secondary
242,200001777,安贞路,secondary
243,200001778,安贞路,secondary
244,200001848,北四环西路辅路,tertiary
245,200001849,大运村路,tertiary
246,200001850,展春园西路,tertiary
247,200001891,北三环,trunk
248,200001892,北三环,trunk
249,200001901,玉泉山路,tertiary
250,200001989,北三环中路,tertiary
251,200001990,,trunk_link
252,200001991,,trunk_link
253,200001992,,trunk_link
254,200001993,,trunk_link
255,200001994,,trunk_link
256,200001995,,trunk_link
257,200002140,,motorway_link
258,200002141,,motorway_link
259,200002142,北五环,motorway
260,200002143,北五环,motorway
261,200002236,,secondary
262,200002279,北三环,trunk
263,200002343,,motorway_link
264,200002344,,motorway_link
265,200002345,,motorway_link
266,200002611,,primary_link
267,200002612,G6辅路,primary
268,200002613,G6辅路,primary
269,200002614,G6辅路,primary
270,200002615,G6辅路,primary
271,200002616,G6辅路,primary
272,200002617,G6辅路,primary
273,200002618,G6辅路,primary
274,200002619,G6辅路,primary
275,200002620,厢黄旗路,tertiary
276,200002621,树村路,tertiary
277,200002719,科荟桥,secondary
278,200002720,科荟桥,secondary
279,200002721,域清街,tertiary
280,200002722,,secondary_link
281,200002723,北辰桥,secondary
282,200002724,北辰桥,secondary
283,200002725,湖景东路,tertiary
284,200002726,湖景东路,tertiary
285,200002727,湖景东路,tertiary
286,200002728,湖景东路,tertiary
287,200002729,北四环中路,tertiary_link
288,200002730,北四环中路,tertiary
289,200002731,北四环中路,tertiary
290,200002732,北四环中路,tertiary
291,200002733,北四环中路,tertiary_link
292,200002734,,tertiary_link
293,200002735,北四环中路,trunk
294,200002736,,trunk_link
295,200002856,科荟路,tertiary
296,200002857,,tertiary
297,200002858,,tertiary
298,200002966,中关村东路,secondary
299,200003053,,motorway_link
300,200003054,,tertiary
301,200003058,五环路辅路,secondary
302,200003059,五环路辅路,secondary
303,200003060,五环路辅路,secondary
304,200003061,北辰东路,tertiary
305,200003065,,motorway_link
306,200003066,天辰西路,tertiary
307,200003067,天辰西路,tertiary
308,200003068,天辰西路,tertiary
309,200003069,奥林东路 (àolín dōng lù),secondary_link
310,200003070,奥林东路 (àolín dōng lù),secondary_link
311,200003073,奥林东路,secondary
312,200003074,,secondary_link
313,200003078,,motorway_link
