Unnamed: 0,poi_id,category,name,Address
0,700000027,249900,南湖中园社区文明市民学校,"湖光中街北侧南湖中园小区内, 距离南湖南路和湖光中街交叉口西北角100m"
1,700000098,801010,停车场-入口,"未知路名西侧大望京公园内, 距离未知路名和未知路名交叉口西南角200m"
2,700000134,139900,钱包坊,"广顺北大街东侧望京西园内, 距离广顺南大街和广顺北大街交叉口北角450m"
3,700000192,111000,北京鑫佳泓科技有限公司,"望京北路西侧北京惠兰医院内, 距离利泽中二路和望京北路交叉口东南角100m"
4,700000239,131200,如邻,"望京东路西侧望京保利中央公园南区内, 距离未知路名和望京东路交叉口西南角50m"
5,700000246,101099,堂烫,"未知路名南侧望京国际商业中心内, 距离未知路名和未知路名交叉口南角50m"
6,700000310,288000,望京东园515号楼,"阜通东大街东侧望京新城南区内, 距离未知路名和阜通东大街交叉口东北角50m"
7,700000376,801010,停车场-出入口,"未知路名东侧, 距离未知路名和未知路名交叉口北角200m"
8,700000412,129900,智库才恒英文中心,"望京街北侧望京内, 距离阜通西大街和望京街交叉口东角150m"
9,700000511,102000,九品金饺餐厅(望京街店),"未知路名南侧望京国际商业中心内, 距离未知路名和未知路名交叉口南角50m"
10,700000516,801010,费家村-东门,"未知路名东侧, 距离来广营东路和未知路名交叉口南角900m"
11,700000530,801010,天使妇儿医院东湖街道办事处-东-正门,"宏泰西街北侧望京西园社区内, 距离阜安西路和宏泰西街交叉口西北角400m"
12,700000554,111000,中国中材集团财物公司,"望京北路东侧中国中材内, 距离利泽中二路和望京北路交叉口东南角100m"
13,700000560,281010,大西洋新城C301栋,"南湖南路东侧大西洋新城北区内, 距离花家地街和南湖南路交叉口北角250m"
14,700000656,102000,套餐·凉皮,"阜安路西侧新荟城购物中心内, 距离宏泰东街和阜安路交叉口西南角250m"
15,700000657,801010,望京花园邮政所-南门,"利泽中街西侧望京花园社区北区内, 距离利泽中一路和利泽中街交叉口南角200m"
16,700000662,139900,睿风精品店,"未知路名南侧望京国际商业中心内, 距离未知路名和未知路名交叉口南角50m"
