Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,Address
0,500000216,2,8,"[(116.48808199542835, 39.99894734524708)]",大望京公园,"未知路名西侧, 距离未知路名和未知路名交叉口西南角200m"
1,500000306,2,7,"[(116.50207873747541, 39.98677728752958)]",,"南春路东侧, 距离未知路名和南春路交叉口西南角1650m"
2,500000396,2,7,"[(116.45442910956602, 40.011959223354964)]",澳洲康都社区,"未知路名南侧, 距离未知路名和未知路名交叉口东南角150m"
3,500000406,2,7,"[(116.45514204592024, 39.9914816311062)]",南湖南路周边,"南湖南路西侧, 距离未知路名和南湖南路交叉口西南角50m"
4,500000725,2,5,"[(116.4490303, 39.9999488)]",望京南湖西园,"望京西路西侧, 距离河荫西路和望京西路交叉口西南角200m"
5,500000726,2,7,"[(116.45031785, 40.00057655)]",世安家园北区,"望京西路西侧, 距离河荫西路和望京西路交叉口西南角100m"
6,500000727,2,5,"[(116.44843473895536, 39.99956187507244)]",望京南湖西园北区,"望京西路西侧, 距离河荫西路和望京西路交叉口西南角200m"
7,500000728,2,7,"[(116.44972633580721, 40.000279318452556)]",望京南湖西园东区,"望京西路北侧, 距离河荫西路和望京西路交叉口西南角150m"
8,500000770,2,7,"[(116.46290494999998, 40.009431499999984)]",望京华彩商业中心,"利泽中一路西侧, 距离利泽中街和利泽中一路交叉口西北角250m"
9,500000771,2,8,"[(116.44943060000001, 39.999211249999995)]",世安家园南区,"望京西路北侧, 距离湖光北街和望京西路交叉口西角50m"
10,500000772,2,8,"[(116.45020885905325, 39.99920952482264)]",望京南湖西园南区,"望京西路北侧, 距离湖光北街和望京西路交叉口西角50m"
11,500001196,2,7,"[(116.50167635803352, 39.991994106739455)]",醉库国际文化创意园北区,"东五环北侧, 距离东五环和东五环交叉口西北角2300m"
12,500001221,2,7,"[(116.46072158647365, 39.98739351276171)]",都市心海岸雅园北区,"阜通西大街东侧, 距离花家地街和阜通西大街交叉口东北角50m"
13,500001222,2,7,"[(116.46154449153885, 39.98791674086148)]",都市心海岸雅园东区,"阜通西大街南侧, 距离花家地街和阜通西大街交叉口东北角150m"
