Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,English_Address
0,500000032,2,12,"[(121.50730356373009, 31.22688637128383)]",汤臣中心,"on the south side of 复兴东路隧道 (上层), 1450m from the east corner of the junction of 复兴东路 and 复兴东路隧道 (上层)"
1,500000033,2,12,"[(121.46954767199199, 31.224480397452666)]",瑞安广场,"on the east side of unknown road, 50m from the northeast corner of the junction of 南北高架路 and unknown road"
2,500000034,2,12,"[(121.46841060295716, 31.22404076084627)]",中环广场,"on the east side of 淮海中路, 50m from the southwest corner of the junction of 马当路 and 淮海中路"
3,500000035,2,12,"[(121.49900582416069, 31.232083431835406)]",东昌路,"on the west side of 人民路隧道, 1300m from the east corner of the junction of 人民路隧道 and 人民路隧道"
4,500000036,2,12,"[(121.53110232844364, 31.230445496278953)]",嘉瑞酒店,"on the east side of 潍坊路, 100m from the southwest corner of the junction of 源深路 and 潍坊路"
5,500000041,2,12,"[(121.44828180047917, 31.232124120344846)]",陕西北路 nearby,"on the west side of 陕西北路, 200m from the south corner of the junction of 新闸路 and 陕西北路"
6,500000042,2,12,"[(121.44890026214333, 31.22974838525813)]",恒隆广场,"on the west side of 南京西路, 650m from the northeast corner of the junction of 常德路 and 南京西路"
7,500000049,2,12,"[(121.4830854234997, 31.234546209738266)]",外滩中心,"on the south side of 广东路, 50m from the east corner of the junction of 河南中路 and 广东路"
8,500000070,2,12,"[(121.48446094813903, 31.244254888873936)]",原英国驻上海总领事馆,"on the west side of 中山东一路, 100m from the northwest corner of the junction of 北京东路 and 中山东一路"
9,500000071,2,12,"[(121.48056835844785, 31.246472043964662)]",上海邮政总局大楼,"on the east side of 天潼路, 100m from the southwest corner of the junction of 四川北路 and 天潼路"
10,500000072,2,12,"[(121.48221282801721, 31.245685156992256)]",四川北路 nearby,"on the east side of 四川北路, 150m from the southeast corner of the junction of 天潼路 and 四川北路"
11,500000073,2,12,"[(121.53018257482309, 31.21304509506525)]",DoubleTree by Hilton Hotel Shanghai - Pudong,"on the east side of 杨高南路, 150m from the northeast corner of the junction of 杨高南路 and 杨高南路"
12,500000074,2,12,"[(121.45218499912772, 31.247016008920536)]",Kerry Everbright Center,"on the south side of 北横通道, 50m from the south corner of the junction of unknown road and 北横通道"
13,500000076,2,12,"[(121.51390251632947, 31.210856823279226)]",喜来登由由酒店,"on the west side of 浦建路, 200m from the southeast corner of the junction of 浦东南路 and 浦建路"
14,500000082,2,12,"[(121.4406885787885, 31.225395712274505)]",静安寺,"on the west side of 南京西路, 200m from the west corner of the junction of 常德路 and 南京西路"
15,500000083,2,12,"[(121.42753570993004, 31.214893143577378)]",延安西路 nearby,"on the east side of 延安高架路, 650m from the southwest corner of the junction of 延安高架路 and 延安高架路"
16,500000084,2,12,"[(121.4399663310175, 31.221890056625917)]",上海国际贵都大饭店,"on the east side of 延安西路, 50m from the east corner of the junction of 乌鲁木齐中路 and 延安西路"
17,500000085,2,12,"[(121.47919147080503, 31.24560452807695)]",天潼路 nearby,"on the south side of 天潼路, 200m from the southwest corner of the junction of 四川北路 and 天潼路"
18,500000086,2,12,"[(121.49163212997385, 31.265350722009725)]",瑞虹新城,"on the east side of 曲阳南路, 550m from the south corner of the junction of 曲阳路 and 曲阳南路"
19,500000087,2,12,"[(121.49484826374409, 31.263466448374)]",瑞虹新城二期,"on the south side of 瑞虹路, 150m from the east corner of the junction of 临平路 and 瑞虹路"
20,500000088,2,12,"[(121.49474622345616, 31.262433746829743)]",临平路 nearby,"on the east side of 临平路, 100m from the southeast corner of the junction of 瑞虹路 and 临平路"
21,500000089,2,12,"[(121.49592575784672, 31.262866955639538)]",临平路 nearby,"on the east side of 瑞虹路, 50m from the east corner of the junction of 临平路 and 瑞虹路"
22,500000092,2,12,"[(121.48642611582375, 31.245765365308248)]",俄罗斯领事馆,"on the east side of 外滩隧道, 150m from the south corner of the junction of 外滩隧道 and 外滩隧道"
23,500000114,2,12,"[(121.46856659409714, 31.234049208143276)]",人民公园,"on the east side of 南京西路, 50m from the east corner of the junction of 黄陂北路 and 南京西路"
24,500000115,2,12,"[(121.46733163322588, 31.231463527097073)]",上海大剧院,"on the east side of 黄陂北路, 150m from the north corner of the junction of 人民大道 and 黄陂北路"
25,500000116,2,12,"[(121.47088157386752, 31.233370785404478)]",上海城市规划展示馆,"on the west side of 人民大道, 50m from the west corner of the junction of 福州路 and 人民大道"
26,500000117,2,12,"[(121.46662067114016, 31.23259850780273)]",ROOF 325,"on the south side of 南京西路, 50m from the southeast corner of the junction of 黄陂北路 and 南京西路"
27,500000118,2,12,"[(121.470231667763, 31.233090044584422)]",人民大道 nearby,"on the west side of 人民大道, 100m from the west corner of the junction of 福州路 and 人民大道"
28,500000119,2,12,"[(121.46449799884155, 31.2189638931163)]",复兴公园,"on the west side of 南北高架路, 400m from the north corner of the junction of unknown road and 南北高架路"
29,500000120,2,12,"[(121.4878067745955, 31.229088858065158)]",豫园,"on the south side of 人民路隧道, 200m from the southeast corner of the junction of 人民路隧道 and 人民路隧道"
30,500000121,2,12,"[(121.48818802361006, 31.2278400875032)]",上海城隍庙,"on the west side of 中华路, 150m from the southwest corner of the junction of 人民路 and 中华路"
31,500000122,2,12,"[(121.47045348338021, 31.22186499319108)]",新天地,"on the south side of 黄陂南路, 150m from the south corner of the junction of 淮海中路 and 黄陂南路"
32,500000123,2,12,"[(121.4952628005069, 31.24189412657918)]",东方明珠电视塔,nan
33,500000124,2,12,"[(121.49240361545677, 31.241497046024868)]",上海国际会议中心,"on the north side of 浦东大道地道, 800m from the west corner of the junction of 银城中路出口 and 浦东大道地道"
34,500000125,2,12,"[(121.4938378269963, 31.242381857518147)]",港务大厦,"on the west side of 浦东大道地道, 650m from the northwest corner of the junction of 银城中路出口 and 浦东大道地道"
35,500000126,2,12,"[(121.50184300925379, 31.2400675357485)]",陆家嘴绿地,"on the west side of 陆家嘴东路, within 50m from the northwest corner of the junction of 陆家嘴环路 and 陆家嘴东路"
36,500000147,2,12,"[(121.508325698591, 31.261603013486283)]",德国大陆集团亚洲总部,"on the east side of 大连路, 150m from the north corner of the junction of 长阳路 and 大连路"
37,500000148,2,12,"[(121.4143805686645, 31.22360697009441)]",中山公园,"on the east side of 北横通道, 2350m from the east corner of the junction of unknown road and 北横通道"
38,500000150,2,12,"[(121.41197146526446, 31.221024158086166)]",龙之梦购物中心,"on the east side of 凯旋路, 50m from the northeast corner of the junction of 长宁路 and 凯旋路"
39,500000165,2,12,"[(121.51239666666667, 31.235290000000003)]",南泉北路 nearby,"on the east side of 世纪大道, 100m from the northwest corner of the junction of 南泉北路 and 世纪大道"
40,500000166,2,12,"[(121.50346868840722, 31.238025654330517)]",柳园公园,"on the east side of 陆家嘴东路, 50m from the south corner of the junction of unknown road and 陆家嘴东路"
41,500000167,2,12,"[(121.49573510987281, 31.243096862359536)]",东方明珠公园,"on the west side of 陆家嘴环路, 150m from the west corner of the junction of 东园路 and 陆家嘴环路"
42,500000169,2,12,"[(121.53172752758545, 31.235586991837508)]",张杨路 nearby,"on the east side of 张杨路, 350m from the southwest corner of the junction of 桃林路 and 张杨路"
43,500000170,2,12,"[(121.52277733060195, 31.23270419350387)]",张杨路 nearby,"on the east side of 张杨路, 100m from the east corner of the junction of 东方路 and 张杨路"
44,500000171,2,12,"[(121.52518255452922, 31.233474490212938)]",张杨路 nearby,"on the east side of 世纪大道, 350m from the north corner of the junction of 潍坊路 and 世纪大道"
45,500000172,2,12,"[(121.52781851598537, 31.234334318798226)]",张杨路 nearby,"on the east side of 张杨路, 300m from the west corner of the junction of 源深路 and 张杨路"
46,500000189,2,12,"[(121.42548995538857, 31.23339689122224)]",达安花园,"on the west side of 北横通道, 2950m from the southwest corner of the junction of 北横通道 and 北横通道"
47,500000191,2,12,"[(121.4650978434139, 31.23238501299883)]",明天广场,"on the east side of 南京西路, 150m from the east corner of the junction of 成都北路 and 南京西路"
48,500000192,2,12,"[(121.46886221490067, 31.22646785415585)]",金陵大厦,"on the south side of 黄陂南路, 100m from the south corner of the junction of 黄陂北路 and 黄陂南路"
49,500000193,2,12,"[(121.46691199100995, 31.22515881358254)]",金陵西路 nearby,"on the north side of unknown road, 150m from the north corner of the junction of 南北高架路 and unknown road"
50,500000194,2,12,"[(121.47011790879927, 31.225793260865448)]",香港广场北座,"on the west side of 淮海中路, 50m from the north corner of the junction of 黄陂南路 and 淮海中路"
51,500000195,2,12,"[(121.46901874981323, 31.225497465086377)]",K11 艺术购物中心,"on the west side of 淮海中路, within 50m from the northwest corner of the junction of 黄陂南路 and 淮海中路"
52,500000214,2,12,"[(121.51764766272734, 31.27030903316984)]",现代星洲城,"on the east side of 江浦路, 450m from the north corner of the junction of 长阳路 and 江浦路"
