Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,english_aoi_name,Address,English_Address
0,500000012,2,8,"[(116.29724698741721, 40.00682066660485)]",圆明园遗址公园,Yuanmingyuan Ruins Park,"清华西路北侧, 距离颐和园路和清华西路交叉口北角850m","on the north side of Tsinghua West Road, 850m from the north corner of the junction of Yiheyuan Road and Tsinghua West Road"
1,500000087,2,8,"[(116.32462990643737, 39.99326671960372)]",清华科技园北区,Qinghua Science and Technology Park North Area,"成府路北侧, 距离中关村东路和成府路交叉口西北角50m以内","on the north side of Chengfu Road, within 50m from the northwest corner of the junction of Zhongguancun East Road and Chengfu Road"
2,500000123,2,8,"[(116.32833695930252, 40.01520658103999)]",东升八家郊野公园北区,Dongsheng Eight Family Park North District,"后八家路西侧, 距离月泉路和后八家路交叉口西北角250m","on the west side of Houbajia Road, 250m from the northwest corner of the junction of Yuequan Road and Houbajia Road"
3,500000124,2,7,"[(116.33471658535636, 40.01909739239114)]",东升八家郊野公园东区,Dongsheng Bajia Countryside Park East区,"北五环南侧, 距离未知路名和北五环交叉口东南角650m","on the south side of North Fifth Ring Road, 650m from the southeast corner of the junction of unknown road and North Fifth Ring Road"
4,500000188,2,8,"[(116.35093783900493, 40.00301529569728)]",中国农业大学东校区,China Agricultural University East Campus,"石板房南路南侧, 距离未知路名和石板房南路交叉口西南角150m","on the south side of Shibanfang South Road, 150m from the southwest corner of the junction of Ke Hui Bridge and Shibanfang South Road"
5,500000250,2,8,"[(116.32977493023247, 39.99739013214349)]",学研大厦,Xueyan Building,"荷清路西侧, 距离清华东路和荷清路交叉口西南角150m","on the west side of Heqing Road, 150m from the southwest corner of the junction of Tsinghua East Road and Heqing Road"
6,500000350,2,7,"[(116.35933533092258, 39.99886123659757)]",二里庄北区,Erli Zhuang North District,"志新西路北侧, 距离志新路和志新西路交叉口北角650m","on the north side of Zhixin West Road, 650m from the north corner of the junction of Zhixin Road and Zhixin West Road"
7,500000391,2,-1,"[(116.31104188966455, 40.01707271791737)]",,,"北五环东侧, 距离未知路名和北五环交叉口西角250m","on the east side of North Fifth Ring Road, 250m from the west corner of the junction of unknown road and North Fifth Ring Road"
8,500000420,2,8,"[(116.33843336302166, 40.004106800213215)]",中国科学院半导体研究所,Chinese Academy of Sciences Semiconductor Research Institute,"林业大学北路南侧, 距离静淑苑路和林业大学北路交叉口西南角300m","on the south side of North Road of Forestry University, 300m from the southwest corner of the junction of Jingshu Yuan Road and North Road of Forestry University"
9,500000640,2,8,"[(116.35433825598689, 40.00015330154646)]",清华东路周边,Qinghua East Road Surrounding Area,"清华东路东侧, 距离学清路和清华东路交叉口东角500m","on the east side of Tsinghua East Road, 500m from the east corner of the junction of Xueyuan Road and Tsinghua East Road"
10,500000641,2,8,"[(116.34666092965443, 40.00577094827202)]",学清路北区周边,Xueqing Road North District Surrounding,"学清路北侧, 距离清华东路和学清路交叉口北角600m","on the north side of Xueqing Road, 600m from the north corner of the junction of Tsinghua East Road and Xueqing Road"
11,500000642,2,8,"[(116.3468039522257, 40.00406116074135)]",北京农大北区,Beijing Agricultural University North Area,"学清路北侧, 距离清华东路和学清路交叉口北角350m","on the north side of Xueqing Road, 350m from the north corner of the junction of Tsinghua East Road and Xueqing Road"
12,500000643,2,8,"[(116.34692399136254, 40.00158726723622)]",清华东路南区周边,Nearby Qinghua East Road South Area,"学清路北侧, 距离清华东路和学清路交叉口北角150m","on the north side of Xueqing Road, 150m from the north corner of the junction of Tsinghua East Road and Xueqing Road"
13,500000644,2,7,"[(116.34779640283121, 40.006887593128695)]",圣熙8号购物中心北区,Shengxi No. 8 Shopping Center North District,"学清路东侧, 距离石板房南路和学清路交叉口东北角50m","on the east side of Xueqing Road, 50m from the northeast corner of the junction of North Road of Forestry University and Xueqing Road"
14,500000645,2,7,"[(116.34778164999999, 40.00802560000001)]",学清路西区周边,Xueqing Road West District Surrounding Area,"学清路东侧, 距离石板房南路和学清路交叉口东北角150m","on the east side of Xueqing Road, 150m from the northeast corner of the junction of North Road of Forestry University and Xueqing Road"
15,500000646,2,7,"[(116.34780745728037, 40.00855490669218)]",中关村东升科技园·学院园,Zhongguancun Dongsheng Science and Technology Park·Academic Park,"学清路东侧, 距离石板房南路和学清路交叉口东北角150m","on the east side of Xueqing Road, 150m from the northeast corner of the junction of North Road of Forestry University and Xueqing Road"
16,500000647,2,7,"[(116.34781744716423, 40.007444423123324)]",圣熙8号购物中心中区,Shengxi No.8 Shopping Center Central District,"学清路东侧, 距离石板房南路和学清路交叉口东北角50m","on the east side of Xueqing Road, 50m from the northeast corner of the junction of North Road of Forestry University and Xueqing Road"
17,500000648,2,7,"[(116.34925013782339, 40.00743969546566)]",圣熙8号购物中心南区,Shengxi 8th Shopping Center South District,"石板房南路北侧, 距离未知路名和石板房南路交叉口西角300m","on the north side of Shibanfang South Road, 300m from the west corner of the junction of Ke Hui Bridge and Shibanfang South Road"
18,500000649,2,8,"[(116.34560659867932, 39.998831015896585)]",学院路周边,Xueyuan Road Surrounding Area,"学院路西侧, 距离学清路和学院路交叉口西南角50m","on the west side of Xueyuan Road, 50m from the southwest corner of the junction of Tsinghua East Road and Xueyuan Road"
19,500000650,2,8,"[(116.34466085783507, 39.998707655620926)]",矿大周边美食街,Food Street near Mining University,"清华东路南侧, 距离王庄路和清华东路交叉口东角900m","on the south side of Tsinghua East Road, 900m from the east corner of the junction of Shuangqing Road and Tsinghua East Road"
20,500000651,2,8,"[(116.34465425400514, 39.999119281228644)]",清华大学,Tsinghua University,"清华东路西侧, 距离王庄路和清华东路交叉口东角900m","on the west side of Tsinghua East Road, 900m from the east corner of the junction of Shuangqing Road and Tsinghua East Road"
21,500000652,2,7,"[(116.34581517002444, 40.0000156354001)]",六所大厦,Liuso Building,"学清路西侧, 距离石板房南路和学清路交叉口南角650m","on the west side of Xueqing Road, 650m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
22,500000653,2,7,"[(116.34530120837245, 40.000453526795845)]",,,"清华东路北侧, 距离学清路和清华东路交叉口西北角50m","on the north side of Tsinghua East Road, 50m from the northwest corner of the junction of Xueyuan Road and Tsinghua East Road"
23,500000654,2,7,"[(116.34583290061848, 40.00056002672708)]",六道口北区,LiudaoKou North District,"学清路南侧, 距离石板房南路和学清路交叉口南角600m","on the south side of Xueqing Road, 600m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
24,500000655,2,7,"[(116.34374712828368, 40.00954812285822)]",中公教育总部,The headquarters of Zhonggong Education,"学清路西侧, 距离月泉路和学清路交叉口南角450m","on the west side of Xueqing Road, 450m from the south corner of the junction of Yuequan Road and Xueqing Road"
25,500000656,2,7,"[(116.34470502890507, 40.00947774198853)]",医协医院北区,Medical Association Hospital North District,"学清路西侧, 距离月泉路和学清路交叉口南角450m","on the west side of Xueqing Road, 450m from the south corner of the junction of Yuequan Road and Xueqing Road"
26,500000657,2,7,"[(116.34558696482443, 40.00843961148537)]",学清路东区周边,Nearby Xueqing Road East District,"学清路南侧, 距离月泉路和学清路交叉口南角500m","on the south side of Xueqing Road, 500m from the south corner of the junction of Yuequan Road and Xueqing Road"
27,500000658,2,7,"[(116.34570769163774, 40.00715047875848)]",学清路中区周边,Nearby Xueqing Road Central Area,"学清路南侧, 距离月泉路和学清路交叉口南角700m","on the south side of Xueqing Road, 700m from the south corner of the junction of Yuequan Road and Xueqing Road"
28,500001143,2,7,"[(116.3285699300574, 39.994901831133184)]",清华大学北区,Tsinghua University North Area,"双清路南侧, 距离中关村东路和双清路交叉口东北角200m","on the south side of Shuangqing Road, 200m from the northeast corner of the junction of Zhongguancun East Road and Shuangqing Road"
29,500001264,2,8,"[(116.32717423559751, 39.99477273239769)]",,,"双清路西侧, 距离中关村东路和双清路交叉口东北角100m","on the west side of Shuangqing Road, 100m from the northeast corner of the junction of Zhongguancun East Road and Shuangqing Road"
30,500001268,2,8,"[(116.29618073861099, 39.997785403441334)]",,,"颐和园路北侧, 距离清华西路和颐和园路交叉口西北角250m","on the north side of Yiheyuan Road, 250m from the northwest corner of the junction of Tsinghua West Road and Yiheyuan Road"
31,500001269,2,5,"[(116.32754158727909, 39.994138953664596)]",福瑞金城停车场,Furui Jincheng Parking Lot,"双清路南侧, 距离中关村东路和双清路交叉口东角100m","on the south side of Shuangqing Road, 100m from the east corner of the junction of Zhongguancun East Road and Shuangqing Road"
32,500001270,2,7,"[(116.32844840708348, 39.994354869968056)]",北京市海淀区东升镇,"Dongsheng Town, Haidian District, Beijing","双清路东侧, 距离中关村东路和双清路交叉口东角100m","on the east side of Shuangqing Road, 100m from the east corner of the junction of Zhongguancun East Road and Shuangqing Road"
33,500001271,2,8,"[(116.32169035554323, 39.99291534183293)]",清华大学东门,Tsinghua University East Gate,"成府路东侧, 距离未知路名和成府路交叉口西北角200m","on the east side of Chengfu Road, 200m from the northwest corner of the junction of unknown road and Chengfu Road"
34,500001953,2,7,"[(116.33293577008287, 39.997587407285074)]",清华同方科技大厦,Qinghua Tongfang Technology Building,"王庄路北侧, 距离清华东路和王庄路交叉口西南角300m","on the north side of Wangzhuang Road, 300m from the southwest corner of the junction of Shuangqing Road and Wangzhuang Road"
35,500001970,2,7,"[(116.33063469999999, 39.99333615)]",成府路北区,Chengfu Road North District,"荷清路西侧, 距离双清路和荷清路交叉口南角450m","on the west side of Heqing Road, 450m from the south corner of the junction of Shuangqing Road and Heqing Road"
36,500001971,2,7,"[(116.33050789226914, 39.992844725667695)]",成府路南区,Chengfu Road South District,"荷清路西侧, 距离双清路和荷清路交叉口南角500m","on the west side of Heqing Road, 500m from the south corner of the junction of Shuangqing Road and Heqing Road"
