,road_id,road_name,road_level
0,200000004,军博西路,tertiary
1,200000064,西直门北大街,trunk
2,200000181,百万庄大街,secondary
3,200000182,百万庄大街,secondary
4,200000183,百万庄大街,secondary
5,200000184,百万庄大街,secondary
6,200000185,百万庄大街,secondary
7,200000186,西直门内大街,secondary
8,200000187,月坛南街,secondary
9,200000188,月坛南街,secondary
10,200000189,月坛南街,secondary
11,200000216,西直门内大街,secondary
12,200000223,西直门外南路,tertiary
13,200000266,平安里西大街,primary
14,200000267,平安里西大街,primary
15,200000268,平安里西大街,primary
16,200000269,平安里西大街,primary
17,200000439,,secondary_link
18,200000440,高梁桥,secondary
19,200000441,高梁桥路,secondary
20,200000466,西三环,trunk
21,200000742,,trunk_link
22,200000768,西二环,trunk
23,200000769,西三环,trunk_link
24,200000810,紫竹院路,trunk
25,200000818,紫竹院路,trunk
26,200000819,紫竹院路,trunk
27,200000820,紫竹院路,trunk
28,200000821,紫竹院路,trunk
29,200000822,西直门外南路,tertiary
30,200000823,玲珑路,primary
31,200000824,北洼路,tertiary
32,200000825,玲珑路,primary
33,200000909,阜成路,tertiary
34,200000910,航天桥环岛,tertiary
35,200000911,阜成路,trunk
36,200000912,阜成路,trunk
37,200000913,阜成路,tertiary
38,200000914,阜成路,tertiary
39,200000915,阜成路,tertiary
40,200000916,阜成路,tertiary
41,200000917,西三环北路,tertiary
42,200000918,西三环北路,tertiary
43,200000921,西三环中路,tertiary
44,200000922,阜成门外大街,trunk
45,200001014,阜成门桥,primary
46,200001016,展览馆路,secondary
47,200001020,车公庄南街,tertiary
48,200001036,阜成门南顺城街,tertiary
49,200001037,阜成门南顺城街,tertiary
50,200001038,阜成门南顺城街,tertiary
51,200001171,新苑街,tertiary
52,200001172,紫竹院南路,tertiary
53,200001193,西四南大街,primary
54,200001194,西单北大街,primary
55,200001195,西单北大街,primary
56,200001203,太平桥大街,secondary
57,200001204,太平桥大街,secondary
58,200001205,太平桥大街,secondary
59,200001206,太平桥大街,secondary
60,200001207,太平桥大街,secondary
61,200001208,太平桥大街,secondary
62,200001209,太平桥大街,secondary
63,200001210,闹市口北街,secondary
64,200001211,闹市口北街,secondary
65,200001212,闹市口北街,secondary
66,200001313,玲珑路,primary
67,200001314,阜成路,trunk
68,200001315,玲珑路,primary
69,200001316,玲珑路,primary
70,200001317,阜成路,trunk
71,200001318,阜成路,trunk
72,200001319,阜成路,trunk
73,200001320,,trunk
74,200001342,华远街,tertiary
