Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,english_aoi_name,Address
0,500000005,2,8,"[(116.27685726985422, 39.996839136863414)]",颐和园北区,Yiheyuan North District,"宫门前街东侧, 距离颐和园路和宫门前街交叉口南角400m"
1,500000012,2,8,"[(116.29724698741721, 40.00682066660485)]",圆明园遗址公园,Yuanmingyuan Ruins Park,"清华西路北侧, 距离颐和园路和清华西路交叉口北角850m"
2,500000015,2,7,"[(116.39699580772208, 39.9878864575225)]",北京国际会议中心北区,Beijing International Convention Center North District,"北辰东路东侧, 距离北四环中路和北辰东路交叉口东北角50m"
3,500000021,2,8,"[(116.30671138783634, 40.02993664002374)]",上地商圈北区,Shangdi Commercial District North Area,"信息路北侧, 距离上地二街和信息路交叉口南角450m"
4,500000027,2,5,"[(116.30585772780087, 39.98046542479258)]",中关村北区,Zhongguancun North District,"善缘街西侧, 距离海淀大街和善缘街交叉口西南角100m"
5,500000028,2,7,"[(116.30929361722848, 39.975655386149086)]",海淀医院北区,Haidian Hospital North Section,"海淀南路北侧, 距离中关村大街和海淀南路交叉口西北角150m"
6,500000029,2,7,"[(116.30921307769881, 39.976921641247266)]",新中关购物中心,Xinzhongguan Shopping Center,"丹棱街西侧, 距离海淀中街和丹棱街交叉口东角400m"
7,500000030,2,-1,"[(116.30744115257255, 40.02827720397782)]",上地科贸大厦,Shangdi Science and Trade Building,"信息路东侧, 距离上地二街和信息路交叉口南角550m"
8,500000031,2,8,"[(116.30747866306042, 40.02860669334848)]",上地科技园区北区,Shangdi Science Park North District,"信息路东侧, 距离未知路名和信息路交叉口东北角100m"
9,500000037,2,7,"[(116.30169891522542, 40.025722795217085)]",,,"未知路名南侧, 距离未知路名和未知路名交叉口东南角100m"
10,500000044,2,7,"[(116.38465171674693, 39.984124428759955)]",中华民族园北区,Chinese Nationality Park North District,"北辰西路东侧, 距离北辰西路和北辰西路交叉口东角250m"
11,500000045,2,7,"[(116.38577465973013, 39.979020176421095)]",中华民族园南区,Southern Area of Chinese Ethnic Group Park,"北辰路北侧, 距离未知路名和北辰路交叉口西南角400m"
12,500000048,2,8,"[(116.26641415896691, 39.99128335385419)]",颐和园东区,Yiheyuan East District,"昆明湖路西侧, 距离未知路名和昆明湖路交叉口西南角150m"
13,500000049,2,8,"[(116.30412458079438, 39.99117833969218)]",北京大学燕园校区,Peking University Yan Yuan Campus,"清华西路南侧, 距离颐和园路和清华西路交叉口东南角200m"
14,500000051,2,8,"[(116.30731913376832, 39.96935338914383)]",中国人民大学东门校区,Renmin University of China East Gate Campus,"万泉河路东侧, 距离未知路名和万泉河路交叉口东角450m"
15,500000054,2,8,"[(116.34110456233736, 39.98067153131798)]",北京航空航天大学学院路校区周边,Beihang University Yuelai Campus周边,"北四环中路南侧, 距离未知路名和北四环中路交叉口东南角50m以内"
