Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,English_Address
0,500000012,2,12,"[(-0.18005187857860702, 51.50665430514294)]",Kensington Gardens,"on the north side of Kensington Road, 100m from the northeast corner of the junction of Gloucester Road and Kensington Road"
1,500000029,2,12,"[(-0.11449547662337903, 51.517108886353014)]",Lincoln's Inn,"on the south side of High Holborn, 50m from the south corner of the junction of Chancery Lane and High Holborn"
2,500000030,2,12,"[(-0.11359448731672968, 51.51569630328189)]",Chancery Lane nearby,"on the south side of Chancery Lane, 300m from the northwest corner of the junction of Fleet Street and Chancery Lane"
3,500000036,2,12,"[(-0.10547184231187262, 51.51378576185491)]",St Brides,"on the east side of Fleet Street, within 50m from the southwest corner of the junction of Fleet Street and Fleet Street"
4,500000046,2,12,"[(-0.15139550911850813, 51.51149791940567)]",Grosvenor Square,"on the north side of Grosvenor Square, 50m from the northwest corner of the junction of Mount Street and Grosvenor Square"
5,500000052,2,12,"[(-0.13008710132038043, 51.51042435598084)]",Leicester Square,"on the west side of Charing Cross Road, 100m from the southwest corner of the junction of Cranbourn Street and Charing Cross Road"
6,500000089,2,12,"[(-0.13003405645785196, 51.5189786735122)]",Bedford Square,"on the west side of Bedford Square, 200m from the northwest corner of the junction of Great Russell Street and Bedford Square"
7,500000091,2,12,"[(-0.10552508741475686, 51.495184963405045)]",West Square Gardens,"on the west side of St George's Road, 250m from the west corner of the junction of Elephant and Castle and St George's Road"
8,500000092,2,12,"[(-0.11958595988943987, 51.51064171518347)]",Kings chapel of the Savoy,"on the south side of Strand, 50m from the south corner of the junction of Duncannon Street and Strand"
9,500000094,2,12,"[(-0.12148415181026573, 51.50847588740756)]",Victoria Embankment Gardens,"on the west side of Victoria Embankment, 300m from the northeast corner of the junction of Northumberland Avenue and Victoria Embankment"
10,500000097,2,12,"[(-0.13718882344143446, 51.511648348365235)]",Golden Square,"on the east side of Regent Street, 250m from the southeast corner of the junction of Conduit Street and Regent Street"
11,500000100,2,12,"[(-0.12103180761439043, 51.48748706828322)]",Vauxhall Pleasure Gardens,"on the north side of Harleyford Road, within 50m from the north corner of the junction of Harleyford Road and Harleyford Road"
12,500000101,2,12,"[(-0.11907270069640585, 51.487768129100026)]",Kennington Lane nearby,"on the east side of South Lambeth Road, within 50m from the northeast corner of the junction of South Lambeth Road and South Lambeth Road"
13,500000102,2,12,"[(-0.11959425103552547, 51.48831948554395)]",Vauxhall Gardens Allotments,"on the east side of Albert Embankment, 400m from the south corner of the junction of Albert Embankment and Albert Embankment"
14,500000103,2,12,"[(-0.12024645558300673, 51.48837879288602)]",Vauxhall Walk Playground,"on the east side of Albert Embankment, 400m from the south corner of the junction of Albert Embankment and Albert Embankment"
15,500000104,2,12,"[(-0.12335396196784039, 51.50563029928906)]",Whitehall Garden,"on the west side of Victoria Embankment, 50m from the south corner of the junction of Northumberland Avenue and Victoria Embankment"
16,500000105,2,12,"[(-0.12391941038260171, 51.50389158293643)]",Whitehall Garden,"on the south side of Victoria Embankment, 200m from the south corner of the junction of Northumberland Avenue and Victoria Embankment"
17,500000106,2,12,"[(-0.1449330711304319, 51.49770860249168)]",Victoria Square,"on the east side of Beeston Place, 50m from the southeast corner of the junction of Lower Grosvenor Place and Beeston Place"
18,500000107,2,12,"[(-0.1471792498038974, 51.4978017405677)]",Grosvenor Gardens,"on the east side of Eccleston Street, 350m from the north corner of the junction of Buckingham Palace Road and Eccleston Street"
19,500000108,2,12,"[(-0.14554171149285683, 51.49655384838326)]",Grosvenor Gardens,"on the north side of Buckingham Palace Road, within 50m from the north corner of the junction of Grosvenor Gardens and Buckingham Palace Road"
20,500000112,2,12,"[(-0.13450948268273522, 51.49802000613395)]",Christchurch Gardens,"on the west side of Victoria Street, 100m from the northeast corner of the junction of Buckingham Gate and Victoria Street"
21,500000113,2,12,"[(-0.13830725481414535, 51.49590674705462)]",Victoria Street nearby,"on the south side of Victoria Street, 200m from the southwest corner of the junction of Buckingham Gate and Victoria Street"
22,500000114,2,12,"[(-0.12900203620942519, 51.49856267579906)]",Dean's Yard,"on the east side of Marsham Street, 100m from the southeast corner of the junction of Victoria Street and Marsham Street"
23,500000115,2,12,"[(-0.12611869071599363, 51.49800791402041)]",College Green,"on the south side of Millbank, 300m from the north corner of the junction of Lambeth Bridge and Millbank"
24,500000116,2,12,"[(-0.12490333499933415, 51.49675992776391)]",Victoria Tower Gardens,"on the east side of Millbank, 200m from the north corner of the junction of Lambeth Bridge and Millbank"
25,500000117,2,12,"[(-0.12804676298849677, 51.49439059713829)]",St John's Gardens,"on the south side of Horseferry Road, 150m from the west corner of the junction of Millbank and Horseferry Road"
26,500000118,2,12,"[(-0.13509881199803842, 51.49330888782724)]",Westminster School Playing Field,"on the south side of Rochester Row, 200m from the east corner of the junction of Vauxhall Bridge Road and Rochester Row"
27,500000119,2,12,"[(-0.12797978251184844, 51.48915975293009)]",Riverside Walk Gardens,"on the south side of Millbank, 100m from the southwest corner of the junction of Millbank and Millbank"
28,500000120,2,12,"[(-0.129083583009281, 51.491458879875864)]",Millbank Gardens,"on the west side of John Islip Street, 50m from the north corner of the junction of Atterbury Street and John Islip Street"
29,500000121,2,12,"[(-0.11700019200925837, 51.4969093848406)]",Archbishop's Park,"on the north side of Lambeth Road, 50m from the north corner of the junction of Lambeth Road and Lambeth Road"
30,500000122,2,12,"[(-0.11877012717974504, 51.49685652642253)]",Lambeth Palace Garden,nan
31,500000139,2,12,"[(-0.13912387076923444, 51.50382207790596)]",Lancaster House,"on the west side of Buckingham Palace Road, 700m from the southwest corner of the junction of The Mall and Buckingham Palace Road"
32,500000140,2,12,"[(-0.13277513259156928, 51.50576121402638)]",Carlton House,"on the west side of Buckingham Palace Road, 150m from the west corner of the junction of The Mall and Buckingham Palace Road"
