start_id,start_name,des_id,des_name,success_time,average_step,completion
500003599,Pant Nagar Colony Road nearby,500057378,LBS Marg nearby,4,9.4,1.0
500034306,Sion Panvel Highway nearby,500036040,Ahobila Mutt,5,1.0,1.0
500033161,Shell Colony Road nearby,500036374,Shanta Jog Marg nearby,5,2.0,1.0
500059957,LBS Marg nearby,500042966,LBS Marg nearby,5,1.0,1.0
500039441,Service Road nearby,500017942,Road No 7 nearby,5,1.0,1.0
500020200,Jawaharlal Nehru Road nearby,500020217,Vidya Nagari Marg nearby,5,2.0,1.0
500051050,Swami Vivekanand Road nearby,500044672,RK Patkar Marg (Waterfield Road) nearby,5,1.0,1.0
500045275,Linking Road nearby,500029234,Linking Road nearby,5,4.0,1.0
500019038,Jawaharlal Nehru Road nearby,500038512,Vidya Nagari Marg nearby,5,2.0,1.0
500027975,Linking Road nearby,500017871,Hasanabad Road No 2 nearby,2,11.2,0.8199857942190563
500045099,Linking Road nearby,500042115,Ramrao Nayak Marg nearby,5,1.0,1.0
500004698,Vallabh Baug lane nearby,500004694,Barrister Nath Pai Road nearby,4,8.8,0.8
500033775,Hemu Kalani Marg nearby,500031686,Hemu Kalani Marg nearby,5,1.0,1.0
500035031,Road No. 5 nearby,500034317,Waman Tukaram Patil Marg nearby,2,9.8,0.8
500045049,Natasha,500040301,K C Marg nearby,5,1.0,1.0
500045063,Swami Vivekanand Road nearby,500044929,Linking Road nearby,5,1.0,1.0
500039504,Bandra Station Road nearby,500053328,Hill Road nearby,5,1.0,1.0
500027030,Relief Road nearby,500026461,Juhu Tara Road nearby,5,1.0,1.0
500026274,Juhu Tara Road nearby,500026358,Juhu Tara Road nearby,5,1.0,1.0
500006062,Sion Bandra Link Road nearby,500004494,SL Raheja Hospital Marg nearby,5,2.0,1.0
500048371,LBS Marg nearby,500041004,Ghatkopar-Andheri Link Road Extention nearby,1,12.4,0.8
500020194,Swami Vivekanand Road nearby,500019938,P V Avsare Marg nearby,4,6.2,0.8829589739928031
500034681,Service Road nearby,500044862,Service Road nearby,5,1.0,1.0
500003580,Subhash Chandra Bose Garden,500044957,LBS Marg nearby,5,7.4,1.0
500020971,Swami Vivekanand Road nearby,500028044,Kanu Desai Road nearby,5,1.0,1.0
500036537,90 Feet Road nearby,500003739,Hingwala Lane nearby,5,1.0,1.0
500053372,Hill Road nearby,500044857,Swami Vivekanand Road nearby,5,2.0,1.0
500004225,Vallabh Baug Lane nearby,500004773,Ratilal Mehta Marg nearby,5,1.0,1.0
500044610,Chitrapur - D,500045294,Swami Vivekanand Road nearby,2,13.2,0.8
500047618,Chunabhatti Road nearby,500020581,Swadeshi Mills Road nearby,1,12.4,0.8
500036911,Ghatkopar Mahul Road nearby,500031652,Santa Cruz – Chembur Link Road nearby,5,1.0,1.0
500033725,Hemu Kalani Marg nearby,500002030,Sandu Park,5,2.0,1.0
500041100,Road Number 7 nearby,500004662,Barrister Nath Pai Road nearby,3,10.6,1.0
500017930,Church Avenue nearby,500053318,Prabhat Kunj,2,10.6,0.8093618127239622
500031697,Road Number 7 nearby,500033117,Shanta Jog Marg nearby,5,1.0,1.0
500040094,Hill Road nearby,500044616,People's Cosmopolitan,5,2.0,1.0
500035186,Chunabhatti Road nearby,500048821,Bandra Kurla Complex Road nearby,5,4.0,1.0
500020020,Jawaharlal Nehru Road nearby,500033406,Jawaharlal Nehru Road nearby,5,1.0,1.0
500033379,Jawaharlal Nehru Road nearby,500059671,Golden Pebbles,5,2.0,1.0
500003667,Pant Nagar Colony Road nearby,500042597,Golibar Road nearby,5,2.0,1.0
500021622,S G Barve Marg nearby,500033060,A H Wadia Marg nearby,5,1.0,1.0
500023631,Linking Road nearby,500028875,Linking Road nearby,5,1.0,1.0
500049063,Diamond Link,500042080,Ramrao Nayak Marg nearby,1,13.4,0.8559282139179597
500053367,K C Marg nearby,500045124,K C Marg nearby,5,1.0,1.0
500023715,Linking Road nearby,500015187,Swami Vivekanand Road nearby,5,1.0,1.0
500056283,Chitrakar Durandhar Road (2nd Road) nearby,500053047,Linking Road nearby,5,6.4,1.0
500017346,City Hospital and Reserch Centre,500018418,Magan Nathuram Road nearby,5,2.0,1.0
500045074,PD Hinduja Road (Khar Pali Road) nearby,500027310,Linking Road nearby,2,13.4,1.0
500037202,Swami Vivekanand Road nearby,500015865,Service Road nearby,1,13.6,0.8839723017917921
