start_id,start_name,des_id,des_name,success_time,average_step,completion
500002495,улица Матросская Тишина nearby,500018116,улица 1905 года nearby,4,8.2,0.8643526406387244
500012650,Скотопрогонная улица nearby,500012620,улица Охотный Ряд nearby,5,1.0,1.0
500011253,Третье транспортное кольцо nearby,500008307,Шмитовский проезд nearby,4,6.6,1.0
500024703,площадь Варварские Ворота nearby,500028211,Полуярославская набережная nearby,5,2.0,1.0
500009204,Просторная улица nearby,500009136,Краснодонская улица nearby,4,4.6,1.0
500008176,Севастопольский проспект nearby,500008155,Третье транспортное кольцо nearby,5,1.0,1.0
500004730,1-й Рощинский проезд nearby,500004147,Полимербыт,5,1.0,1.0
500026368,Московский колледж бизнес-технологий,500026360,А-8,5,4.0,1.0
500025722,Юго-Восточная хорда nearby,500003253,Новинский бульвар nearby,5,1.0,1.0
500004741,Скотопрогонная улица nearby,500004235,улица Еланского nearby,5,1.0,1.0
500008843,Товарищеский переулок nearby,500021815,Тверской бульвар nearby,2,15.0,0.8565165748141563
500005789,улица Чистова nearby,500005765,Университетский проспект nearby,5,1.0,1.0
500008283,Башиловская улица nearby,500020129,Кудринская площадь nearby,5,2.0,1.0
500022959,улица Маросейка nearby,500022964,улица Маросейка nearby,5,1.0,1.0
500004537,"Историко-мемориальный музей ""Пресня""",500022748,Рождественский бульвар nearby,5,1.0,1.0
500008508,Посольство Бангладеш,500012317,улица Лестева nearby,4,10.6,1.0
500011578,улица Николая Коперника nearby,500020680,улица Большая Ордынка nearby,3,8.4,1.0
500009532,Ленинградский проспект nearby,500009423,Бутырская улица nearby,2,9.4,0.8
500024161,Костомаровский переулок nearby,500023137,улица Заморёнова nearby,5,2.0,1.0
500010978,Севастопольский проспект nearby,500008913,Третье транспортное кольцо nearby,5,1.0,1.0
500017246,Мичуринский проспект nearby,500017254,Поперечный просек nearby,5,1.0,1.0
500017782,Восточная улица nearby,500018746,Северо-Восточная хорда nearby,5,1.0,1.0
500027739,улица Сущёвский Вал nearby,500027709,Технологический колледж №28,5,1.0,1.0
500006066,проезд Берёзовой Рощи nearby,500015685,улица Неверовского nearby,5,1.0,1.0
500022779,Рождественский бульвар,500004565,Кутузовский проспект nearby,5,1.0,1.0
500001301,Художественный,500027241,1-й Силикатный проезд nearby,5,1.0,1.0
500026966,Рижский проезд nearby,500026978,улица Сокольнический Вал nearby,4,4.6,1.0
500023629,1-й Боткинский проезд nearby,500024676,проезд Завода Серп и Молот nearby,4,4.6,1.0
500001271,улица Вавилова nearby,500027622,Онкологический диспансер №1,5,2.0,1.0
500014583,Комсомольский проспект nearby,500007536,Бизнес-центр «The Yard»,2,10.6,1.0
500003052,Рязанский проспект nearby,500001823,улица Панфёрова nearby,5,2.0,1.0
500016055,Кутузовский проспект nearby,500014256,проспект Андропова nearby,5,1.0,1.0
500009871,улица Можайский Вал nearby,500014739,Северо-Восточная хорда nearby,5,3.0,1.0
500023262,Самарская улица nearby,500018219,Мичуринский проспект nearby,1,13.4,0.8
500019517,проспект Генерала Дорохова nearby,500019544,проспект Андропова nearby,5,1.0,1.0
500024139,Усачёва улица nearby,500027114,Краснопрудная улица nearby,5,1.0,1.0
500024401,улица Большая Ордынка nearby,500024436,Озерковская набережная nearby,5,2.0,1.0
500005453,улица Светланова nearby,500003033,Большая Семёновская улица nearby,1,14.8,1.0
500025613,ВТБ Арена парк,500019500,Бережковская набережная nearby,3,11.6,1.0
500003127,Садовая-Самотёчная улица nearby,500003130,улица Трёхгорный Вал nearby,5,2.0,1.0
500020807,Погибшим во Второй мировой войне,500000054,Красноармейская улица nearby,5,1.0,1.0
500026380,Дукс,500023565,Поклонная улица nearby,5,2.0,1.0
500017464,Нижегородская улица nearby,500020262,улица Мустая Карима nearby,2,13.8,0.8829351391770939
500010597,улица Сущёвский Вал nearby,500010059,КПП 3,5,2.0,1.0
500019940,площадь Борьбы nearby,500002153,улица Шкулёва nearby,5,1.0,1.0
500012029,проспект Мира nearby,500009999,улица Матросская Тишина nearby,3,7.2,0.8
500004545,Малая Семёновская улица nearby,500004460,опытное производство,5,1.0,1.0
500002059,улица Большая Якиманка nearby,500002053,улица Большая Ордынка nearby,5,1.0,1.0
500023047,Озерковская набережная nearby,500025650,"Бизнес-центр ""Сокольники плаза""",5,1.0,1.0
500017034,улица Даниловский Вал nearby,500019477,Юго-Восточная хорда nearby,4,6.2,1.0
500010520,проектируемый проезд № 770 nearby,500006776,Профсоюзная улица nearby,5,2.0,1.0
